[[-0.17965345, 1.3690207, -0.6338533, -0.35023567, 0.19244789, 0.067224614, 0.0, 0.0], [0, 0, 1], -27.74336603691304]
[[-0.18586645, 1.3605716, -0.6223019, -0.37564006, 0.19344732, 0.01998883, 0.0, 0.0], [0, 0, 1], -27.389184918417126]
[[-0.1920064, 1.3515345, -0.61314857, -0.40154126, 0.19259243, -0.017097795, 0.0, 0.0], [0, 0, 1], -27.12764982660269]
[[-0.19807568, 1.341913, -0.60426307, -0.42727563, 0.18992363, -0.053375967, 0.0, 0.0], [0, 0, 1], -26.739180316053503]
[[-0.20405516, 1.3317211, -0.5929694, -0.45234504, 0.18491982, -0.10007616, 0.0, 0.0], [0, 0, 1], -25.923981364517285]
[[-0.20994134, 1.3209631, -0.5811997, -0.4772174, 0.17747433, -0.14890955, 0.0, 0.0], [0, 0, 1], -24.85823311853525]
[[-0.21574292, 1.3096347, -0.5705273, -0.5023689, 0.16782394, -0.1930081, 0.0, 0.0], [0, 0, 1], -23.714024291270842]
[[-0.22147474, 1.2977177, -0.5617609, -0.528401, 0.15640265, -0.22842607, 0.0, 0.0], [0, 0, 1], -22.625416172644318]
[[-0.22712803, 1.2852242, -0.55186784, -0.5539091, 0.14295605, -0.26893193, 0.0, 0.0], [0, 0, 1], -21.244773394211617]
[[-0.23270717, 1.2721504, -0.542501, -0.5796518, 0.12760301, -0.30706066, 0.0, 0.0], [0, 0, 1], -19.752755285270094]
